City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,79.88,83,100,19.35,moderate rain
1,Yeniseysk,RU,58.4497,92.1703,15.87,96,82,5.66,broken clouds
2,Arlit,NE,18.7369,7.3853,76.19,17,0,10.0,clear sky
3,Khatanga,RU,71.9667,102.5,-26.61,85,90,2.08,overcast clouds
4,Yumen,CN,40.2833,97.2,43.75,50,2,15.52,clear sky
5,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.65,85,6,7.11,clear sky
6,Broome,US,42.2506,-75.833,17.6,53,1,6.91,clear sky
7,Bridlington,GB,54.0831,-0.1919,39.0,86,99,10.42,overcast clouds
8,Pisco,PE,-13.7,-76.2167,72.0,83,0,10.36,clear sky
9,Asmara,ER,15.3333,38.9333,55.33,56,39,1.92,scattered clouds
10,Mataura,NZ,-46.1927,168.8643,57.0,80,100,11.99,overcast clouds
11,Oxford,GB,51.7522,-1.256,34.0,86,75,1.14,broken clouds
12,Kamenka,RU,51.3223,42.7678,30.99,88,100,14.58,light snow
13,La Ronge,CA,55.1001,-105.2842,39.2,41,100,5.75,overcast clouds
14,Kenai,US,60.5544,-151.2583,28.4,53,1,9.22,light snow
15,Poum,NC,-20.2333,164.0167,79.14,73,32,10.74,scattered clouds
16,Nome,US,64.5011,-165.4064,32.0,93,90,28.77,snow
17,Mar Del Plata,AR,-38.0023,-57.5575,70.0,88,75,9.22,moderate rain
18,Muros,ES,42.7762,-9.0603,44.01,78,2,3.0,clear sky
19,Hithadhoo,MV,-0.6,73.0833,83.41,63,1,7.43,clear sky
20,Mount Isa,AU,-20.7333,139.5,93.2,36,25,16.11,scattered clouds
21,Punta Arenas,CL,-53.15,-70.9167,39.2,70,20,10.36,few clouds
22,Butaritari,KI,3.0707,172.7902,80.78,81,29,12.93,scattered clouds
23,Nemuro,JP,43.3236,145.575,33.8,51,75,11.5,broken clouds
24,Ushuaia,AR,-54.8,-68.3,41.0,70,75,6.91,broken clouds
25,Allahabad,IN,25.45,81.85,83.89,15,0,6.76,clear sky
26,Taoudenni,ML,22.6783,-3.9836,64.33,27,0,7.45,clear sky
27,Cherskiy,RU,68.75,161.3,-15.68,87,100,8.05,overcast clouds
28,Albany,US,42.6001,-73.9662,24.01,39,8,8.57,clear sky
29,Kajaani,FI,64.2273,27.7285,-7.6,84,40,1.14,scattered clouds
30,Busselton,AU,-33.65,115.3333,71.01,75,99,5.01,overcast clouds
31,Port Elizabeth,ZA,-33.918,25.5701,64.4,88,75,12.66,broken clouds
32,Vaini,TO,-21.2,-175.2,84.2,70,20,14.97,few clouds
33,Carnarvon,AU,-24.8667,113.6333,84.2,89,0,11.5,clear sky
34,Hilo,US,19.7297,-155.09,69.8,88,90,9.22,mist
35,Kiruna,SE,67.8557,20.2251,15.8,86,90,6.91,light snow
36,Zhangye,CN,38.9342,100.4517,52.61,33,0,4.41,clear sky
37,Cape Town,ZA,-33.9258,18.4232,62.6,72,20,9.22,few clouds
38,Atuona,PF,-9.8,-139.0333,79.92,75,45,12.08,scattered clouds
39,Gushikawa,JP,26.3544,127.8686,75.2,69,1,11.5,clear sky
40,Wattegama,LK,6.7989,81.4808,84.2,89,20,9.22,few clouds
41,Aguimes,ES,27.9054,-15.4461,64.4,68,90,11.5,overcast clouds
42,Gualaquiza,EC,-3.4,-78.55,63.9,90,100,1.32,overcast clouds
43,Pacific Grove,US,36.6177,-121.9166,51.8,76,1,4.61,clear sky
44,Masuda,JP,34.6667,131.85,53.6,58,20,9.22,few clouds
45,Yoichi,JP,43.2039,140.7703,35.01,60,40,16.11,scattered clouds
46,Mahebourg,MU,-20.4081,57.7,77.0,94,40,4.61,scattered clouds
47,Karlskoga,SE,59.3267,14.5239,26.6,68,0,9.22,clear sky
48,New Norfolk,AU,-42.7826,147.0587,73.99,31,100,3.0,light rain
49,Asfi,MA,32.2994,-9.2372,57.52,80,100,10.56,overcast clouds
50,Tasiilaq,GL,65.6145,-37.6368,33.8,100,90,31.07,snow
51,Malgrat De Mar,ES,41.6466,2.7414,54.0,93,75,8.05,broken clouds
52,Chuy,UY,-33.6971,-53.4616,66.02,90,0,6.73,clear sky
53,Arraial Do Cabo,BR,-22.9661,-42.0278,73.27,91,100,3.69,overcast clouds
54,Saint-Philippe,RE,-21.3585,55.7679,77.0,78,27,5.75,scattered clouds
55,Jiangyou,CN,31.7667,104.7167,56.71,67,95,3.62,overcast clouds
56,Victoria,HK,22.2855,114.1577,69.01,81,51,5.01,broken clouds
57,La Romana,DO,18.4273,-68.9728,71.6,100,20,4.12,few clouds
58,Vostok,RU,46.4856,135.8833,20.14,94,99,5.99,overcast clouds
