City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Atuona,PF,79.29,broken clouds,-9.8,-139.0333,Villa Enata
10,Saint-Philippe,RE,77.0,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
11,Kavaratti,IN,82.45,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
12,Butaritari,KI,80.28,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
13,Mahebourg,MU,77.0,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
16,Pangai,TO,82.4,few clouds,-19.8,-174.35,Ha'apai Beach Resort
23,Rikitea,PF,80.94,light rain,-23.1203,-134.9692,Pension Maro'i
24,Puerto Ayora,EC,81.0,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
27,Satwas,IN,70.52,clear sky,22.5333,76.6833,मां नर्मदा स्टाम्प रजिस्ट्री कार्यालय
28,Sibolga,ID,74.41,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
29,Vaini,TO,82.4,few clouds,-21.2,-175.2,Keleti Beach Resort
35,Kapaa,US,73.99,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
39,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
43,Singapore,SG,78.8,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
46,Bangolo,CI,73.38,light rain,7.0069,-7.475,Résidence hôtel yekoula
53,Porto Novo,BJ,84.2,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
58,Cabo San Lucas,MX,77.0,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
60,Pisco,PE,73.4,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
64,Padang,ID,75.2,few clouds,-0.9492,100.3543,Mercure Padang
66,Avarua,CK,82.4,few clouds,-21.2078,-159.775,Paradise Inn
67,Faanui,PF,82.76,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
69,Aquiraz,BR,82.0,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
71,Belmonte,BR,78.8,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
73,Kontagora,NG,79.63,broken clouds,10.3999,5.4695,Queens Guest Inn
77,Salalah,OM,73.4,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
79,Luganville,VU,81.45,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
82,Naliya,IN,71.01,clear sky,23.2667,68.8333,Hotel Panchvati
83,Carnarvon,AU,78.8,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
85,Cidreira,BR,74.03,clear sky,-30.1811,-50.2056,Hotel Castelo
89,Santiago Del Estero,AR,82.18,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
92,Mitsamiouli,KM,81.18,overcast clouds,-11.3847,43.2844,Foyer ADM
93,Una,IN,74.64,clear sky,20.8167,71.0333,Hotel Ghanshyam
98,San Cristobal,VE,82.4,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
100,Bambous Virieux,MU,77.0,scattered clouds,-20.3428,57.7575,Casa Tia Villa
107,San Lorenzo,PY,82.4,clear sky,-25.3333,-57.5333,Hotel del Sur
